Procedimento	Custo Evitável	Receita Evitável	Custo Não Evitável	Receita Não Evitável	Custo Não Identificado	Receita Não Identificado	Custo Ajustado	Receita	Oportunidade Perdida
LIPOMA	 1.437,36 	 3.384,42 	 544,00 	 1.024,16 			 1.981,36 	 4.408,58 	 4.952,58 
LISE DE SINEQUIA VULVAR 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
LOBECTOMIA	 3.052,75 	 7.719,87 	 772,02 	 2.555,14 			 3.824,77 	 10.275,00 	 11.047,03 
LÓBULO BÍFIDO	 272,97 	 532,20 	 546,07 	 1.986,30 	 225,86 	 308,00 	 1.044,90 	 2.826,49 	 3.372,56 
LOBULOPLASTIA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
MAMOPLASTIA	 11.212,18 	 24.897,05 	 451,73 	 615,99 	 955,42 	 2.093,17 	 12.619,33 	 27.606,21 	 28.057,94 
MAMOPLASTIA + RETIRADA DE NÓDULO 	 771,80 	 1.372,39 	 272,97 	 532,20 			 1.044,77 	 1.904,59 	 2.177,55 
MAMOPLASTIA BILATERAL + QUADRANTECTOMIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
MANGUITO ROTADOR	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
MANUTENÇAO	 12.395,61 	 26.448,38 	 4.469,13 	 10.300,87 			 16.864,74 	 36.749,25 	 41.218,38 
MASTECTOMIA 	 27.218,06 	 54.665,82 	 4.012,97 	 8.088,42 	 2.814,29 	 5.418,32 	 34.045,32 	 68.172,56 	 72.185,53 
MASTECTOMIA + LINFADENECTOMIA	 423,67 	 1.372,37 	 211,84 	 686,19 			 635,51 	 2.058,56 	 2.270,40 
MASTECTOMIA + RECONSTRUÇÃO	 5.905,41 	 12.061,14 	 545,94 	 1.064,39 	 545,94 	 1.064,39 	 6.997,28 	 14.189,92 	 14.735,86 
MASTECTOMIA + RECONSTRUÇÃO 	 407,55 	 988,54 	 136,52 	 496,58 			 544,07 	 1.485,11 	 1.621,63 
"MASTECTOMIA NÃO POUPADORA ""E"" + PESQUISA DE LS "	 819,10 	 2.979,45 					 819,10 	 2.979,45 	 2.979,45 
MASTECTOMIA NAO POUPADORA DE PELE + LINFADENECTOMIA RECONSTRUÇÃO DIREITA 	 136,52 	 496,58 			 136,52 	 496,58 	 273,03 	 993,15 	 993,15 
MASTECTOMIA POUPADORA DE PELE + RECONSTRUÇÃO 	 1.089,94 	 2.088,55 					 1.089,94 	 2.088,55 	 2.088,55 
MASTECTOMIA RADICAL	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
MASTECTOMIA RADICAL  + RECONSTRUÇÃO	 272,97 	 532,20 	 272,97 	 532,20 			 545,94 	 1.064,39 	 1.337,36 
MASTECTOMIA RADICAL + LINFADENECTOMIA	 1.044,77 	 1.904,59 	 272,97 	 532,20 			 1.317,73 	 2.436,78 	 2.709,75 
MASTECTOMIA RADICAL + LINFADENECTOMIA + RECONSTRUÇÃO	 997,66 	 1.680,39 					 997,66 	 1.680,39 	 1.680,39 
MASTECTOMIA RADICAL + LINFADENECTOMIA E	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
MASTECTOMIA RADICAL A DIREITA COM LINFADENECTOMIA	 682,58 	 2.482,88 	 273,03 	 993,15 	 272,97 	 532,20 	 1.228,58 	 4.008,22 	 4.281,26 
MASTECTOMIA RADICAL C/ LINFADENECTOMIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
MASTECTOMIA RADICAL C/ LINFADENECTOMIA 	 409,48 	 1.028,77 			 272,97 	 532,20 	 682,45 	 1.560,97 	 1.560,97 
MASTECTOMIA RADICAL C/ LINFADENECTOMIA  	 546,07 	 1.986,30 					 546,07 	 1.986,30 	 1.986,30 
MASTECTOMIA RADICAL C/ LINFADENECTOMIA  + RECONSTRUÇÃO 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
MASTECTOMIA RADICAL COM LINFADENECTOMIA	 1.407,15 	 2.709,16 	 136,52 	 496,58 			 1.543,66 	 3.205,73 	 3.342,25 
MASTECTOMIA RADICAL COM LINFADENECTOMIA AXILAR DIREITA EM ONCOLOGIA + SIMETRIZAÇÃO ESQUERDA	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
MASTECTOMIA RADICAL COM LINFADENECTOMIA AXILAR EM ONCOLOGIA			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
MASTECTOMIA RADICAL COM LINFADENECTOMIA AXILAR EM ONCOLOGIA +RECONSTRUÇÃO DE MAMA			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
MASTECTOMIA RADICAL COM LINFANEDECTOMIA	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
MASTECTOMIA RADICAL DIREITA COM LINFADENECTOMIA	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
MASTECTOMIA RADICAL ESQUERDA COM LINFADENECTOMIA AXILAR	 211,84 	 686,19 	 211,84 	 686,19 			 423,67 	 1.372,37 	 1.584,21 
MASTECTOMIA RADICAL MODIFICADA C/ RECONSTRUÇÃO 	 136,52 	 496,58 	 136,52 	 496,58 			 273,03 	 993,15 	 1.129,67 
MASTECTOMIA RADICAL MODIFICADA DIREITA	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
MASTECTOMIA SIMPLES	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
MASTECTOMIA+ BLS SEM RECONSTRUÇÃO EM ME	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
MASTOIDE	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
MASTOIDE RADICAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
MASTOIDECTOMIA	 3.335,79 	 5.975,11 	 767,93 	 1.291,93 	 225,86 	 308,00 	 4.329,58 	 7.575,04 	 8.342,97 
MASTOIDECTOMIA 	 771,80 	 1.372,39 	 272,97 	 532,20 	 272,97 	 532,20 	 1.317,73 	 2.436,78 	 2.709,75 
MASTOIDECTOMIA  RADICAL	 1.056,60 	 979,35 					 1.056,60 	 979,35 	 979,35 
MASTOIDECTOMIA RACICAL	 537,05 	 1.408,15 					 537,05 	 1.408,15 	 1.408,15 
MASTOIDECTOMIA RADICAL	 2.673,07 	 6.958,87 	 1.978,58 	 4.465,09 	 635,35 	 1.336,77 	 5.287,00 	 12.760,73 	 14.739,31 
MASTOIDECTOMIA RADICAL 			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
MASTOIDECTOMIA RADICAL  Á ESQUERDA 			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
MASTOIDECTOMIA RADICAL (GLOMUS TIMPÂNICO )	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
MASTOIDECTOMIA SIMPLES			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
MASTOIDECTOMIA SUBTOTAL	 537,05 	 1.408,15 	 810,01 	 1.940,35 			 1.347,06 	 3.348,49 	 4.158,51 
MASTOIDECTOMIA SUBTOTAL 	 353,41 	 618,83 	 273,03 	 993,15 			 626,44 	 1.611,98 	 1.885,02 
MASTOIDITE CRONICA					 225,86 	 308,00 	 225,86 	 308,00 	 308,00 
MASTOPEXIA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
MASTOPEXIA C/ PRÓTESE	 409,55 	 1.489,73 					 409,55 	 1.489,73 	 1.489,73 
MASTOPEXIA COM PROTESE	 1.355,17 	 2.459,82 					 1.355,17 	 2.459,82 	 2.459,82 
MASTOPEXIA POS BARIÁTRICA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
MASTOPEXIA S/ PRÓTESE	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
MASTOPEXIA SEM PROTESE	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
MAV	 312,20 	 1.231,02 	 211,84 	 686,19 			 524,03 	 1.917,20 	 2.129,04 
MEATOPLASTIA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
MEATOTOMIA - CÓD 1	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
MEATOTOMIA URETRAL - CÓD 1	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
MEDIASTINOSCOPIA CERVICAL 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
MEDIASTINOSCOPIA PARAESTERNAL À ESQUERDA	 546,07 	 1.986,30 					 546,07 	 1.986,30 	 1.986,30 
MEDIASTINOTOMIA EXPLORADORA			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
MEGAESÔFAGO	 2.719,66 	 4.757,81 					 2.719,66 	 4.757,81 	 4.757,81 
MEGAESOFAGO GRAU IV	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
MELANOMA EM CALCANEO E E D	 451,73 	 615,99 	 225,86 	 308,00 			 677,59 	 923,99 	 1.149,86 
MICRO CIRURGIA DE LARINGE	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
MICRO DE LARINGE	 498,83 	 840,19 					 498,83 	 840,19 	 840,19 
MICRO DE LARINGE CISTO PVE	 272,97 	 532,20 	 272,97 	 532,20 			 545,94 	 1.064,39 	 1.337,36 
MICROCIRUGIA DE LARINGE	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
MICROCIRURGIA DE LARINGE	 2.044,83 	 4.208,12 	 225,86 	 308,00 			 2.270,70 	 4.516,12 	 4.741,98 
MICROCIRURGIA DE LARINGE 			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
MICROCIRURGIA DE LARINGE GRANULOMA DE PV			 273,03 	 993,15 			 273,03 	 993,15 	 1.266,18 
MIOMATOSE UTERINA DIAGNOSTICA			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
MIOMECTOMIA	 5.970,02 	 13.053,99 	 1.172,38 	 2.676,38 			 7.142,41 	 15.730,37 	 16.902,75 
MIOMECTOMIA 	 680,52 	 1.520,74 					 680,52 	 1.520,74 	 1.520,74 
MIOMECTOMIA / HTA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
MIOMECTOMIA LAPAROTOMICA E VIDEOHISTEROSCOPICA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
MIOMECTOMIA/ HTA	 271,03 	 491,96 	 271,03 	 491,96 			 542,07 	 983,93 	 1.254,96 
MUCOCELE FRONTAL			 498,83 	 840,19 			 498,83 	 840,19 	 1.339,03 
MÚLTIPLAS LESÕES	 903,45 	 1.231,99 					 903,45 	 1.231,99 	 1.231,99 
MULTIPLUS NEVUS CERVICAIS 			 352,20 	 326,45 			 352,20 	 326,45 	 678,65 
Não Identificado	 498,90 	 1.301,15 					 498,90 	 1.301,15 	 1.301,15 
NEFROLITOTOMIA	 1.439,50 	 4.439,11 					 1.439,50 	 4.439,11 	 4.439,11 
NEFROSTOMIA			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
NEFROSTOMIA PERCUTÂNEA			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
NEFROURETERECTOMIA TOTAL	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
NEFROURETERECTOMIA TOTAL (NEFRECTOMIA VLP DIREITA + EXPLORAÇÃO TESTICULAR D)			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
NEFROURETERECTOMIA TOTAL EM ONCOLOGIA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
NEO DE LINGUA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
NEOPLASIA DA TIREÓIDE	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
NEOPLASIA DE MAMA 	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
NEOPLASIA DE OVÁRIO			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
NERVOS EM COURO CABELUDO			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
NERVUS EM NARIZ	 136,52 	 496,58 	 225,86 	 308,00 			 362,38 	 804,57 	 1.030,44 
NEURECTOMIA PERCUTÂNEA DE NERVOS PERIFÉRICOS	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
NEUROFIBROMATOSE - BIÓPSIAS	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
NEUROLISE NÃO FUNCIONAL DOS NERVOS PERIFÉRICOS (JOELHO)			 706,82 	 1.237,66 			 706,82 	 1.237,66 	 1.944,49 
NEURORRAFIA	 4.429,59 	 7.791,08 			 136,52 	 496,58 	 4.566,11 	 8.287,66 	 8.287,66 
NEUROTOMIA PERCUTÂNEA 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
NEUROTOMIA PERCUTÂNEA DE NERVOS PERIFÈRICOS POR AGENTES QUIMICOS			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
NEUROTOMIA PERCUTÂNEA PERIFÉRICA 	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
NEUROTOMIA PERCUTÂNEA POR AGENTES QUÍMICOS	 813,10 	 1.475,89 	 271,03 	 491,96 			 1.084,13 	 1.967,86 	 2.238,89 
NEVUS			 1.056,60 	 979,35 			 1.056,60 	 979,35 	 2.035,95 
NÓDULO EM MAMA D			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
NÓDULO EM MAMA DIREITA 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
OFTALMO	 542,07 	 983,93 	 271,03 	 491,96 			 813,10 	 1.475,89 	 1.746,93 
ONICOCRIPTOSE	 225,86 	 308,00 	 211,84 	 686,19 			 437,70 	 994,18 	 1.206,02 
OOFORECTOMIA / OOFOROPLASTIA	 7.701,56 	 18.485,62 	 2.643,04 	 6.062,94 			 10.344,60 	 24.548,57 	 27.191,61 
OOFORECTOMIA + SALPINGECTOMIA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
OOFORECTOMIA/OOFOROPLASTIA + HISTERECTOMIA TOTAL VAGINAL	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
ORELHAS PROEMINENTES	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
ORELHAS PROEMINENTES 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
ORQUIDOPEXIA	 10.020,39 	 21.011,47 	 5.315,28 	 12.378,74 	 409,48 	 1.028,77 	 15.745,16 	 34.418,98 	 39.734,26 
ORQUIDOPEXIA ESQ			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
ORQUIDOPEXIA ESQUERDA			 710,67 	 1.526,38 			 710,67 	 1.526,38 	 2.237,05 
ORQUIDOPEXIA ESQUERDA 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
ORQUIDOPEXIA LAPAROSCOPIA UNILATERAL 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
ORQUIDOPEXIA LAPAROSCÓPICA ESQUERDA 	 815,10 	 1.977,08 	 136,52 	 496,58 			 951,62 	 2.473,65 	 2.610,17 
ORQUIDOPEXIA UNILATERAL	 1.230,86 	 3.154,87 	 482,87 	 1.178,15 			 1.713,73 	 4.333,02 	 4.815,89 
ORQUIDOPÉXIA UNILATERAL	 211,84 	 686,19 	 211,84 	 686,19 			 423,67 	 1.372,37 	 1.584,21 
ORQUIDOPEXIA UNILATERAL 	 409,55 	 1.489,73 					 409,55 	 1.489,73 	 1.489,73 
ORQUIDOPEXIA UNILATERAL - CÓD 3	 498,83 	 840,19 			 272,97 	 532,20 	 771,80 	 1.372,39 	 1.372,39 
ORQUIDOPEXIA UNILATERAL DIREITA 	 273,03 	 993,15 	 136,52 	 496,58 			 409,55 	 1.489,73 	 1.626,24 
ORQUIDOPEXIA UNILATERAL ESQUERDA	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
ORQUIDOPEXIA UNILATERAL POR VIDEO	 325,21 	 721,96 	 325,21 	 721,96 			 650,42 	 1.443,92 	 1.769,13 
ORQUIDOPEXIA UNILATERAL VLP	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
ORQUIDPEXIA UNILATERAL			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
ORQUIECTOMIA	 1.342,17 	 2.574,43 	 1.665,45 	 3.256,16 			 3.007,62 	 5.830,60 	 7.496,04 
ORQUIECTOMIA 			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
ORQUIECTOMIA  INGUINAL					 225,86 	 308,00 	 225,86 	 308,00 	 308,00 
ORQUIECTOMIA BILATERAL	 451,73 	 615,99 	 272,97 	 532,20 	 272,97 	 532,20 	 997,66 	 1.680,39 	 1.953,36 
ORQUIECTOMIA DIREITA			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
ORQUIECTOMIA UNILATERAL	 678,62 	 1.340,79 	 624,45 	 1.110,80 			 1.303,07 	 2.451,59 	 3.076,03 
ORQUIECTOMIA UNILATERAL (ESQUERDA) - COD. 01			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
ORQUIOPEXIA BILATERAL + FIMOSE			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
ORQUIOPEXIA DIREITA			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
ORQUIOPEXIA DIREITA 	 722,76 	 1.107,96 					 722,76 	 1.107,96 	 1.107,96 
ORQUIOPEXIA ESQUERDA.	 498,83 	 840,19 					 498,83 	 840,19 	 840,19 
ORQUIOPEXIA UNILATERAL - CÓD 1	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
OSTECTOMIA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
OSTECTOMIA DA CLAVICULA OU ESCAPULA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
OSTECTOMIA DA PELVE	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
OSTECTOMIA DA PELVE + ACESSO CENTRAL	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
OSTEOMIELITE			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
OSTEOTOMIA DA MAXILA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MÃO E DO PÉ			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
OTOPLASTIA	 1.132,24 	 2.136,73 	 908,32 	 1.868,97 	 136,52 	 496,58 	 2.177,08 	 4.502,27 	 5.410,59 
OTOPLASTIA 	 1.088,07 	 2.509,28 					 1.088,07 	 2.509,28 	 2.509,28 
OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
PACREATECTOMIA PARCIAL	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
PANCREATECTOMIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
PANCREATECTOMIA + COLOCISTECTOMIA + PAPILOTOMIA ENDOSCÓPICA			 451,73 	 615,99 			 451,73 	 615,99 	 1.067,72 
PANCREATECTOMIA PARCIAL	 136,52 	 496,58 	 325,21 	 721,96 			 461,73 	 1.218,54 	 1.543,75 
PANCREATECTOMIA PARCIAL EM ONCOLOGIA	 325,21 	 721,96 	 325,21 	 721,96 			 650,42 	 1.443,92 	 1.769,13 
PANCREATO-DUODENECTOMIA	 2.875,09 	 5.173,38 					 2.875,09 	 5.173,38 	 5.173,38 
PANCREATOJEJUNOSTOMIA	 1.413,65 	 2.475,33 					 1.413,65 	 2.475,33 	 2.475,33 
PANCREATOTOMIA P/ DRENAGEM	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
PAPILOMA  INVERTIDO 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
PAPILOMA INVERTIDO	 1.725,42 	 4.347,23 	 498,90 	 1.301,15 	 818,90 	 1.596,59 	 3.043,22 	 7.244,97 	 7.743,87 
PAPILOMA INVERTIDO  	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
PAPILOTOMIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
PAPILOTOMIA ENDOSCÓPICA	 451,73 	 615,99 			 225,86 	 308,00 	 677,59 	 923,99 	 923,99 
PARATIREOIDECTOMIA	 4.705,16 	 9.881,56 	 482,87 	 1.178,15 			 5.188,03 	 11.059,71 	 11.542,58 
PAROTIDECTOMIA	 3.968,20 	 8.489,99 	 272,97 	 532,20 			 4.241,17 	 9.022,19 	 9.295,15 
PATELECTOMIA + ACESSO CENTRAL	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
PATELECTOMIA TOTAL OU PARCIAL 	 272,97 	 532,20 			 272,97 	 532,20 	 545,94 	 1.064,39 	 1.064,39 
PENECTOMIA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
PENECTOMIA PARCIAL			 704,40 	 652,90 			 704,40 	 652,90 	 1.357,30 
PEQUENA  CIRURGIA	 272,97 	 532,20 			 272,97 	 532,20 	 545,94 	 1.064,39 	 1.064,39 
PEQUENA  CIRURGIA 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
PEQUENA CIRURGIA - LESAO NASAL	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
PERICARDIOCENTESE GUIADA POR ECO					 225,86 	 308,00 	 225,86 	 308,00 	 308,00 
PERINEOPLASTIA ANTERIOR E POSTERIOR	 409,55 	 1.489,73 					 409,55 	 1.489,73 	 1.489,73 
PIELOGRAFIA	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
PIELOGRAFIA ASCENDENTE	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
PIELOGRAFIA ASCENDENTE 	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
PIELOLETOTOMIA DIR			 578,06 	 634,45 			 578,06 	 634,45 	 1.212,51 
PIELOLITOMIA D + URETEROLITOTOMIA E			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
PIELOLITOTOMIA	 423,67 	 1.372,37 	 348,35 	 1.182,76 			 772,02 	 2.555,14 	 2.903,49 
PIELOLITOTOMIA D (JJ CALCIFICADO)	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
PIELOLOTOTOMIA	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
PIELOPLASTIA	 1.335,18 	 3.098,13 	 211,84 	 686,19 			 1.547,01 	 3.784,32 	 3.996,15 
PIELOPLASTIA À DIREITA 			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
PIELOPLASTIA DIR	 578,06 	 634,45 					 578,06 	 634,45 	 634,45 
PIELOPLASTIA ESQUERDA 			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
PIELOPLASTIA ESQUERDA, HIDRONEFROSE URETRAL. COD.04	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
PLÁSTICA  MAMÁRIA FEMININA NÃO ESTÉTICA  BILATERAL 	 409,55 	 1.489,73 					 409,55 	 1.489,73 	 1.489,73 
PLASTICA DA BOLSA ESCROTAL	 312,20 	 1.231,02 	 635,51 	 2.058,56 			 947,71 	 3.289,58 	 3.925,09 
PLASTICA DE BOLSA ESCROTAL. COD.03	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
PLÁSTICA DE FREIO			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
PLASTICA DE FREIO PREPUCIAL	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
PLÁSTICA DE FREIO PREPUCIAL			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
PLASTICA MAMARIA FEMININA NAO ESTETICA	 9.896,36 	 27.308,62 	 1.143,42 	 3.591,93 	 136,52 	 496,58 	 11.176,30 	 31.397,13 	 32.540,55 
PLASTICA MAMARIA FEMININA NÃO ESTETICA	 621,32 	 1.714,96 					 621,32 	 1.714,96 	 1.714,96 
PLASTICA MAMARIA FEMININA NÃO ESTÉTICA	 1.936,63 	 5.966,97 					 1.936,63 	 5.966,97 	 5.966,97 
PLASTICA MAMÁRIA FEMININA NÃO ESTÉTICA (MAMOPLASTIA REDUTORA)	 977,86 	 1.729,63 					 977,86 	 1.729,63 	 1.729,63 
PLASTICA MAMARIA FEMININA NÃO-ESTÉTICA	 1.684,38 	 4.184,16 			 136,52 	 496,58 	 1.820,89 	 4.680,73 	 4.680,73 
PLÁSTICA MAMÁRIA FEMININA NÃO-ESTÉTICA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
PLASTICA MAMARIA MASCULINA	 4.429,39 	 11.180,31 	 325,21 	 721,96 			 4.754,60 	 11.902,27 	 12.227,48 
PLASTICA MAMARIA MASCULINA  (GINECOMASTIA)	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
PLASTICA MAMARIA NAO ESTETICA	 817,03 	 2.017,31 					 817,03 	 2.017,31 	 2.017,31 
PLÁSTICA MAMÁRIA NÃO ESTÉTICA			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
PLASTICA MAMARIA RECONSTRUTIVA - POS MASTECTOMIA C/ IMPLANTE DE PROTESE	 537,05 	 1.408,15 					 537,05 	 1.408,15 	 1.408,15 
PLASTICA MAMARIA RECONSTRUTIVA - POS MASTECTOMIA C/IMPLANTE DE PROTESE	 635,51 	 2.058,56 					 635,51 	 2.058,56 	 2.058,56 
PLASTICA MAMARIA RECONSTRUTIVA BILATERAL INCLUINDO PROTESE MAMARIA DE SILICONE BILATERAL NO PROCESSO TRANSEXUALIZADOR	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
PLASTICA POS-MASTECTOMIA COM PROTESE			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
PLASTICA TOTAL DO PENIS	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
PLEUROSCOPIA 					 225,86 	 308,00 	 225,86 	 308,00 	 308,00 
PLEUROSCOPIA  COM PLEURODESE E BIOPSIA PLEURAL 	 1.084,13 	 1.967,86 					 1.084,13 	 1.967,86 	 1.967,86 
PLEUROSCOPIA COM BIOPSIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
PLEUROSCOPIA COM PLEURODESE	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
PLEUROSCOPIA POR VÍDEO COM DESCORTICAÇÃO PULMONAR	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
PLEUROSTOMIA	 538,06 	 1.539,01 	 225,86 	 308,00 			 763,92 	 1.847,01 	 2.072,87 
PNEUMECTOMIA TOTAL EM ONCOLOGIA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
POLIDACTILIA	 762,90 	 1.647,60 	 635,51 	 2.058,56 	 136,52 	 496,58 	 1.534,92 	 4.202,74 	 4.838,25 
POLIDACTILIA  A ESQUERDA 	 272,97 	 532,20 	 272,97 	 532,20 			 545,94 	 1.064,39 	 1.337,36 
POLIDACTILIA BILATERAL - COD. 01	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
POLIDACTILIA DE MÃOS	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
POLIPECTOMIA POR VIDEO HISTEROSCOPIA CIRURGICA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
POLIPO DE PVE	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
POLIPO ESFENOCOANAL	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
POLIPO PREGA VOCAL E LEUCOPLASIA					 225,86 	 308,00 	 225,86 	 308,00 	 308,00 
POLIPOSE DE SEIOS DA FACE, SINUSOTOMIA	 1.060,23 	 1.856,50 	 353,41 	 618,83 			 1.413,65 	 2.475,33 	 2.828,74 
POLIPOSE E DESVIO DE SEPTO 			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
POLIPOSE NASOSSINUSAL			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
PONTE TROMBOENDASTERECTOMIA CAROTIDA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
